term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,x,y
eczema_alg_union,1.3584702081321598,0.03245535026785655,9.43940574181905,3.748995273925129e-21,1.2741446232181226,1.4470244461756236,UKB only,eczema_alg,depression
eczema_alg_union,1.5590937113834744,0.02007014069415655,22.12763253473765,1.7133982870993525e-108,1.498795375270154,1.6214771807593897,Linked GP only,eczema_alg,depression
eczema_alg_union,1.5029336937266644,0.019699290297020302,20.681912277266306,5.0402762526321125e-95,1.445871337629766,1.5619484360351403,x(GP)~y(GP|UKB),eczema_alg,depression
eczema_alg_union,1.300610529271433,0.06420356247641801,4.093757137226906,4.2443888654220116e-5,1.1443416542700502,1.4719760884832334,UKB only,eczema_alg,anxiety
eczema_alg_union,1.5320343372974967,0.023486306643327317,18.163625763950872,1.0018422440137597e-73,1.462821176427106,1.6038956383698713,Linked GP only,eczema_alg,anxiety
eczema_alg_union,1.507356428344,0.023123676223557755,17.74620103094119,1.8441485183058724e-70,1.4402945213193814,1.5769529769997654,x(GP)~y(GP|UKB),eczema_alg,anxiety
psoriasis_union,1.1072969714086272,0.047384303542831935,2.1509630190592466,0.031479118711558694,1.0079215644427661,1.2136988803425182,UKB only,psoriasis,depression
psoriasis_union,1.3836533518406193,0.027953294910137292,11.61678287098935,3.3864964066375764e-31,1.3095635262907153,1.4612257370002104,Linked GP only,psoriasis,depression
psoriasis_union,1.3307233001724075,0.027429747527231936,10.416524207581174,2.0843171719024144e-25,1.2607864425508966,1.4039147034848425,x(GP)~y(GP|UKB),psoriasis,depression
psoriasis_union,1.2882398825782837,0.08699463752240832,2.911407665942802,0.0035980423350656108,1.081541460948119,1.5214447887742866,UKB only,psoriasis,anxiety
psoriasis_union,1.3759521700628574,0.032771104010676386,9.738639829597863,2.062970412389773e-22,1.2897815217945174,1.466597294301247,Linked GP only,psoriasis,anxiety
psoriasis_union,1.3692752337115313,0.03215203030664151,9.774859328348407,1.443577265367652e-22,1.285113629341125,1.4577465467392798,x(GP)~y(GP|UKB),psoriasis,anxiety
