term,estimate,std.error,statistic,p.value,conf.low,conf.high,exposure,outcome
eczema_alg1,1.162435713709711,0.053268165748707734,2.8256568402538886,0.004718378240232347,1.0464902486179277,1.289550310327809,eczema_alg,ever_anxious_worried
eczema_alg1,1.15556624136536,0.048474782603875326,2.982797824702356,0.002856266023776958,1.0510631051625432,1.2710574807506327,eczema_alg,ever_depressed_sad
eczema_alg1,1.0976324569582967,0.060146850935998676,1.5488017568090073,0.12142938311287313,0.9736569838289652,1.2326417310464606,eczema_alg,depression_gp_pre16
eczema_alg1,1.1029726401844395,0.07444433134229494,1.3165399337556987,0.18799288426664212,0.9502017160495939,1.272388822888466,eczema_alg,anxiety_gp_pre16
eczema_alg_gp,1.1419384538465134,0.04209171075476568,3.153286338265918,0.001614433635417761,1.0510676983224296,1.239643800671572,eczema_alg_gp,ever_anxious_worried
eczema_alg_gp,1.1895429534177797,0.03767313339360446,4.6072398273063015,4.080492757830941e-6,1.1050133488993017,1.2808788623745948,eczema_alg_gp,ever_depressed_sad
eczema_alg_gp,1.621861383281369,0.038385657769717314,12.597790939867679,2.1714117126179993e-36,1.5032851190831114,1.747425774172669,eczema_alg_gp,depression_gp_pre16
eczema_alg_gp,1.583621639795549,0.04746203033602531,9.685940484205666,3.4600910433079745e-22,1.4413205890740037,1.7361092097295638,eczema_alg_gp,anxiety_gp_pre16
eczema_alg_union,1.15938389010243,0.0351181047392549,4.211182120880002,2.540378354375552e-5,1.0819727795268077,1.2416709699182138,eczema_alg_union,ever_anxious_worried
eczema_alg_union,1.1649368939803963,0.03162573455322283,4.827300280928423,1.3839636618391731e-6,1.0950122170922376,1.239543882429712,eczema_alg_union,ever_depressed_sad
eczema_alg_union,2.7869955847527255,0.035583739944979,28.804284368478957,1.895667045528498e-182,2.5979305371622274,2.98684137375108,eczema_alg_union,depression_gp_pre16
eczema_alg_union,2.7153804907254435,0.043313124663321136,23.063034478465855,1.088480262633722e-117,2.4922779318290496,2.953553930737043,eczema_alg_union,anxiety_gp_pre16
eczema_alg_gp_pre16,1.1419384538465134,0.04209171075476568,3.153286338265918,0.001614433635417761,1.0510676983224296,1.239643800671572,eczema_alg_gp_pre16,ever_anxious_worried
eczema_alg_gp_pre16,1.1895429534177797,0.03767313339360446,4.6072398273063015,4.080492757830941e-6,1.1050133488993017,1.2808788623745948,eczema_alg_gp_pre16,ever_depressed_sad
eczema_alg_gp_pre16,6.979215826399728,0.0427031006006149,45.49872344976839,0,6.41566519489817,7.584896463544086,eczema_alg_gp_pre16,depression_gp_pre16
eczema_alg_gp_pre16,6.147668911166618,0.0504780916309855,35.97744907645388,1.8845810218124487e-283,5.563167005136215,6.780688676748479,eczema_alg_gp_pre16,anxiety_gp_pre16
